media,date,ranking,title,url,words
dmenu,2022-12-15,1,安倍昭恵さん経営の居酒屋・UZU閉店から1カ月 ビルに残されていた1枚の貼り紙,https://topics.smt.docomo.ne.jp/article/jisin/nation/jisin-https_jisin.jp_p_2159830?fm=ranking,安倍昭恵さん経営 居酒屋 UZU閉店 1カ月 ビル 1枚 貼り紙
dmenu,2022-12-15,2,【独占告白】長野市公園廃止問題の名誉教授が180分にわたって反論 近隣住民に「あなたとは次元が違う」とも,https://topics.smt.docomo.ne.jp/article/dailyshincho/nation/dailyshincho-933648?fm=ranking,独占告白 長野市公園廃止問題 名誉教授 180分 反論 近隣住民 次元
dmenu,2022-12-15,3,陸自性暴力 直接関与の５人を懲戒免職 中隊長らも処分,https://topics.smt.docomo.ne.jp/article/mainichi/nation/mainichi-20221215k0000m040096000c?fm=ranking,陸自性暴力 直接関与 ５人 懲戒免職 中隊長ら 処分
dmenu,2022-12-15,4,クリスマス寒波襲来か 年末・年始は底冷え 日本海側は大雪のおそれ 1か月予報,https://topics.smt.docomo.ne.jp/article/tenkijp/nation/tenkijp-20980?fm=ranking,クリスマス寒波襲来 年末 年始 底冷え 日本海側 大雪 1か月予報
dmenu,2022-12-15,5,奈良の登山道で「クマに襲われ崖から転落」 現場付近で男性の遺体発見,https://topics.smt.docomo.ne.jp/article/tbs/nation/tbs-6057545?fm=ranking,奈良 登山道 クマ 崖 転落 現場付近 男性 遺体発見
dmenu,2022-12-15,6,28歳アナウンサー「発声障がい」と闘っています。ある日突然 喉に違和感が  絶望の末に伝えたかった“声の病気”のこと【news23】,https://topics.smt.docomo.ne.jp/article/tbs/nation/tbs-233816?fm=ranking,28歳アナウンサー 発声 喉 違和感 絶望 声 病気 news23
dmenu,2022-12-15,7,「襲われて 」登山男性がクマと約30メートル滑落 部下が通報 奈良・大峰山系,https://topics.smt.docomo.ne.jp/article/ntv_news24/nation/ntv_news24-2022121506955291?fm=ranking,登山男性 クマ 30メートル滑落 部下 通報 奈良 大峰山系
dmenu,2022-12-15,8,《元舞妓らが告発》ドラマとは違う“舞妓のまかない”の壮絶なリアル「カビが生えた食事なんて日常茶飯事」「殺伐とした食卓。一人だけ石の硬い上がり框で夕飯を 」,https://topics.smt.docomo.ne.jp/article/bunshun/nation/bunshun-59317?fm=ranking,舞妓ら 告発 ドラマ 舞妓 壮絶 リアル カビ 食事 日常茶飯事 殺伐 食卓 一人 石 上がり框 夕飯
dmenu,2022-12-15,9,「自己流で運転」繰り返しブレーキか 観光バス横転、負傷者28人に,https://topics.smt.docomo.ne.jp/article/asahi_region/nation/asahi_region-ASQDF7H8DQDFUTPB001?fm=ranking,自己流 運転 繰り返しブレーキ 観光バス横転 負傷者28人
dmenu,2022-12-15,10,平塚市“夫婦”遺体遺棄疑い 「息子から暴力」通報くり返す,https://topics.smt.docomo.ne.jp/article/ntv_news24/nation/ntv_news24-2022121501227468?fm=ranking,平塚市 夫婦 遺体遺棄疑い 息子 暴力 通報くり
dmenu,2022-12-15,11,高市氏は出馬すら難しい 有力候補はあの元首相「ポスト岸田レースの今」,https://topics.smt.docomo.ne.jp/article/jisin/nation/jisin-https_jisin.jp_p_2160103?fm=ranking,高市氏 出馬 有力候補 首相 ポスト岸田レース 今
dmenu,2022-12-15,12,平塚“夫婦”遺体 同居の息子を静岡県内で発見 緊急逮捕 容疑を否認,https://topics.smt.docomo.ne.jp/article/ntv_news24/nation/ntv_news24-2022121401464153?fm=ranking,平塚 夫婦 遺体 同居 息子 静岡県内 発見 緊急逮捕 容疑 否認
dmenu,2022-12-15,13,「夫が既婚者のコンパニオン女性と 」 “妻殺害”容疑の長野県議、妻が周囲に明かしていた苦悩,https://topics.smt.docomo.ne.jp/article/dailyshincho/nation/dailyshincho-932025?fm=ranking,夫 既婚者 コンパニオン女性 妻殺害 容疑 長野県議 妻 周囲 苦悩
dmenu,2022-12-15,14,30万人に1人の難病「ピエロと呼ばれた息子」道化師様魚鱗癬との闘い 取材後の楽しみは定番のゲーム対決【報道のチカラ】,https://topics.smt.docomo.ne.jp/article/hicbc/nation/hicbc-228876?fm=ranking,30万人 1人 難病 ピエロ 息子 道化師様魚鱗癬 闘い 取材後 楽しみ 定番 ゲーム対決 報道 チカラ
dmenu,2022-12-15,15,山形県では予想を上回る大雪に 一気に積雪増えた所も 今夜以降雪強まる所も,https://topics.smt.docomo.ne.jp/article/ntv_news24/nation/ntv_news24-2022121503339877?fm=ranking,山形県 予想 大雪 積雪 今夜以降雪
dmenu,2022-12-15,16,「実名出した10代娘の無修正動画なんて 」自慰・放尿映像で女性を脅した“うずしお先生”（49） 性犯罪で4度目の実刑判決を受けた男の「異常な性癖」とは,https://topics.smt.docomo.ne.jp/article/bunshun/nation/bunshun-59390?fm=ranking,実名 10代娘 修正動画 自慰 放尿映像 女性 うず 先生 性犯罪 4度目 実刑判決 男 異常 性癖
dmenu,2022-12-15,17,４か月で宝くじ１等３本、計１８億円 ５ｋｍの一直線上にある３売り場が話題,https://topics.smt.docomo.ne.jp/article/yomiuri/nation/20221215-567-OYT1T50087?fm=ranking,４か月 宝くじ１等３本 １８億円 ５ｋｍ 一直線上 ３売り場 話題
