media,date,ranking,title,url,words
nikkei,2022-12-15,1,東芝再編、国内連合に1.2兆円融資へ 非公開化へ前進,https://www.nikkei.com/article/DGXZQOUB14DTA0U2A211C2000000/,東芝再編 国内連合 1.2兆円融資 非公開化 前進
nikkei,2022-12-15,2,職場がホワイトすぎて辞めたい 若手、成長できず失望,https://www.nikkei.com/article/DGXZQOUD2865W0Y2A121C2000000/,職場 ホワイト 若手 成長 失望
nikkei,2022-12-15,3,ECB、利上げ幅0.5%に減速決定 資産圧縮23年3月から,https://www.nikkei.com/article/DGXZQOGR140BO0U2A211C2000000/,ECB 利上げ幅0.5% 減速決定 資産圧縮23年3月
nikkei,2022-12-15,4,セブン、広告事業参入 1900万人登録アプリに掲載,https://www.nikkei.com/article/DGXZQOUC0481K0U2A101C2000000/,セブン 広告事業参入 1900万人登録アプリ 掲載
nikkei,2022-12-15,5,東京暮らしのジャック・マー氏 たそがれの新自由主義,https://www.nikkei.com/article/DGXZQOUA138OX0T11C22A2000000/,東京暮らし ジャック・マー氏 たそがれ 自由主義
nikkei,2022-12-15,6,EV税制・出世払い奨学金・ドローン部隊110機,https://www.nikkei.com/article/DGXZQODL158VQ0V11C22A2000000/,EV税制 出世 奨学金 ローン部隊110機
nikkei,2022-12-15,7,（生活）ホワイトすぎ 若手が離職 負荷足りず 成長できない,https://www.nikkei.com/article/DGKKZO66845140V11C22A2KNTP00/,生活 ホワイトすぎ 若手 離職 負荷 成長
nikkei,2022-12-15,8,風邪薬を手に入れろ 中国で需要急増 日本で買い占めも,https://www.nikkei.com/article/DGXZQOFL00017_V11C22A2000000/,風邪薬 手 中国 需要急増 日本 買い占め
nikkei,2022-12-15,9,三井住友銀行、福留朗裕次期頭取を正式発表,https://www.nikkei.com/article/DGXZQOUB151U90V11C22A2000000/,三井住友銀行 福留朗裕次期頭取 正式発表
nikkei,2022-12-15,10,米利上げ0.5%に減速 到達金利5.1%に上げ FRB議長、インフレ警戒なお,https://www.nikkei.com/article/DGKKZO66849610V11C22A2MM0000/,米利上げ0.5% 減速 到達金利5.1% FRB議長 インフレ警戒
nikkei,2022-12-15,11,ユニクロのファーストリテイリング、株式を3分割,https://www.nikkei.com/article/DGXZQOUC15A9T0V11C22A2000000/,ユニクロ ファーストリテイリング 株式 3分割
nikkei,2022-12-15,12,[FT]米ゴールドマン、投資銀行部門の賞与大幅カットへ,https://www.nikkei.com/article/DGXZQOCB154RX0V11C22A2000000/,[FT]米ゴールドマン 投資銀行部門 賞与大幅カット
nikkei,2022-12-15,13,（私のリーダー論）危機対応、私利私欲捨てよ 産業革新投資機構CEO 横尾敬介氏（上）,https://www.nikkei.com/article/DGKKZO66845550V11C22A2EAC000/,リーダー論 危機対応 私利私欲 産業革新投資機構CEO 横尾敬介氏 上
nikkei,2022-12-15,14,FTX破綻後、ビットコインに待つ意外な未来,https://www.nikkei.com/article/DGXZQOUB142VM0U2A211C2000000/,FTX破綻後 ビットコイン 意外 未来
nikkei,2022-12-15,15,（人間発見）刀代表取締役CEO 森岡毅さん マーケティングで元気に（4）,https://www.nikkei.com/article/DGKKZO66845770V11C22A2EAC000/,人間発見 刀代表取締役CEO 森岡毅さん マーケティング 元気
nikkei,2022-12-15,16,フランス、違いを生める個と経験 W杯連覇へ王手,https://www.nikkei.com/article/DGXZQODH14E6S0U2A211C2000000/,フランス 違い 個 経験 W杯連覇 王手
nikkei,2022-12-15,17,「ラテ1杯99円」も 年末の生乳廃棄回避へ知恵,https://www.nikkei.com/article/DGXZQOUB0422X0U2A201C2000000/,ラテ1杯99円 年末 生乳廃棄回避 知恵
nikkei,2022-12-15,18,三井住友銀行頭取に福留朗裕氏 デジタル軸に逆境打開,https://www.nikkei.com/article/DGXZQOUB151LK0V11C22A2000000/,三井住友銀行頭取 福留朗裕氏 デジタル軸 逆境打開
nikkei,2022-12-15,19,75歳以上医療費、5200円増の8万7200円 現役負担抑制,https://www.nikkei.com/article/DGXZQOUA14A6A0U2A211C2000000/,75歳以上医療費 5200円増 8万7200円 現役負担抑制
nikkei,2022-12-15,20,タカ派姿勢崩さなかったFRB（NY特急便）,https://www.nikkei.com/article/DGXZQOGN14E740U2A211C2000000/,タカ派姿勢 FRB NY特急便
nikkei,2022-12-15,21,防衛費財源、法人税4～4.5%上乗せ 所得税は1% 自民税調案 「復興」1%下げて延長、たばこ1本3円増税,https://www.nikkei.com/article/DGKKZO66849680V11C22A2MM0000/,防衛費財源 法人税4～4.5%上乗せ 所得税 1% 自民税調案 復興 1% 延長 たばこ1本3円増税
nikkei,2022-12-15,22,「国境炭素税」導入でEUが合意、世界にどう影響？,https://www.nikkei.com/article/DGXZQOGR14B320U2A211C2000000/,国境炭素税 導入 EU 合意 世界 影響
nikkei,2022-12-15,23,｢ウーバー｣的な家事代行 3時間で到着、タイパつかむ,https://www.nikkei.com/article/DGXZQOCD121F30S2A211C2000000/,｢ウーバー｣的 家事代行 3時間 到着 タイパ
nikkei,2022-12-15,24,防衛費財源、法人増税4～4.5% 実施時期は先送り,https://www.nikkei.com/article/DGXZQOUA154ZG0V11C22A2000000/,防衛費財源 法人増税4～4.5% 実施時期 先送り
nikkei,2022-12-15,25,第5回奨学生は金氏 コロンビア・日経奨学金,https://www.nikkei.com/article/DGXZQOUE143ZQ0U2A211C2000000/,5回奨学生 金氏 コロンビア 日経奨学金
nikkei,2022-12-15,26,戸建てに太陽光パネル義務、東京都の条例可決 25年施行,https://www.nikkei.com/article/DGXZQOCC229SQ0S2A121C2000000/,戸建て 太陽光パネル義務 東京都 条例可決 25年施行
nikkei,2022-12-15,27,（目利きが選ぶ３冊）今週の3冊一覧,https://www.nikkei.com/article/DGKKZO66846020V11C22A2BE0P00/,目利き ３冊 今週 3冊一覧
nikkei,2022-12-15,28,防衛費財源、法人税4～4.5%上乗せ 自民党税調案,https://www.nikkei.com/article/DGXZQOUA151VL0V11C22A2000000/,防衛費財源 法人税4～4.5%上乗せ 自民党税調案
nikkei,2022-12-15,29,（ホイッスルの記憶）（カタールW杯・ホイッスルの記憶）電光石火フランス、猛追耐え決勝へ,https://www.nikkei.com/article/DGKKZO66846760V11C22A2UU0000/,ホイッスル 記憶 カタールW杯 ホイッスル 記憶 電光石火フランス 猛追耐え決勝
nikkei,2022-12-15,30,貿易赤字2兆274億円 日本、11月で最大 円安・資源高で,https://www.nikkei.com/article/DGKKZO66849720V11C22A2MM0000/,貿易赤字2兆274億円 日本 11月 最大 円安 資源高
