media,date,ranking,title,url,words
mainichi,2022-12-16,1,阪急・阪神「客に説明つかぬ」衣類販売中止 賃金未払い実習生が生産,https://mainichi.jp/articles/20221214/k00/00m/040/107000c,阪急 阪神 客 説明 衣類販売中止 賃金未払い実習生 生産
mainichi,2022-12-16,2,陸自性暴力 直接関与の5人を懲戒免職 中隊長らも処分,https://mainichi.jp/articles/20221215/k00/00m/040/096000c,陸自性暴力 直接関与 5人 懲戒免職 中隊長ら 処分
mainichi,2022-12-16,3,芥川・直木賞の候補作発表 芥川賞、5人中4人が初のノミネート,https://mainichi.jp/articles/20221215/k00/00m/200/246000c,芥川 直木賞 候補作発表 芥川賞 5人中4人 初 ノミネート
mainichi,2022-12-16,4,「へこたれない男」ヤクルト木沢尚文 飛躍のカギはメンタル,https://mainichi.jp/articles/20221213/k00/00m/050/013000c,男 ヤクルト木沢尚文 飛躍 カギ メンタル
mainichi,2022-12-16,5,「道内屈指の進学校」立命館慶祥が花園初出場 全国高校ラグビー,https://mainichi.jp/articles/20221215/k00/00m/050/017000c,道内屈指 進学校 立命館慶祥 花園 出場 全国高校ラグビー
mainichi,2022-12-16,6,スマホの情報を機器で抜き取り ロシア、中国で反体制派抑圧に利用,https://mainichi.jp/articles/20221215/k00/00m/030/257000c,スマホ 情報 機器 抜き取り ロシア 中国 体制派抑圧 利用
mainichi,2022-12-16,7,DVDの鑑賞邪魔され「怒り爆発」 60歳被告、両親殺害で初公判,https://mainichi.jp/articles/20221214/k00/00m/040/285000c,DVD 鑑賞邪魔 怒り爆発 60歳被告 両親殺害 公判
mainichi,2022-12-16,8,防衛増税 岸田首相、裏目に出た先手 党内反発につじつま合わせ,https://mainichi.jp/articles/20221215/k00/00m/010/302000c,防衛増税 岸田首相 裏目 先手 党内反発 つじつま合わせ
mainichi,2022-12-16,9,日本は「無宗教」の先進国 個人尊重の仏と大きく違う政教分離,https://mainichi.jp/articles/20221215/k00/00m/040/100000c,日本 宗教 先進国 個人尊重 仏 政教分離
mainichi,2022-12-16,10,プーチン大統領の背景にある「悪霊」,https://mainichi.jp/premier/politics/articles/20221110/pol/00m/010/003000c,プーチン大統領 背景 悪霊
mainichi,2022-12-16,11,陸自性暴力 隊員4人が謝罪、退職意向 五ノ井里奈さん「区切りに」,https://mainichi.jp/articles/20221017/k00/00m/040/142000c,陸自性暴力 隊員4人 謝罪 退職意向 井里奈さん 区切り
mainichi,2022-12-16,12,「現代の墨」の現物 書家・宇山栖霞さん遺品から574点を確認,https://mainichi.jp/articles/20221215/k00/00m/040/112000c,現代 墨 現物 書家 宇山栖霞さん遺品 574点 確認
mainichi,2022-12-16,13,安倍氏後継に杉田水脈氏？昭恵さんの擁立断念 衆院補選の人選難航,https://mainichi.jp/articles/20221213/k00/00m/010/329000c,安倍氏後継 杉田水脈氏 昭恵さん 擁立断念 衆院補選 人選難航
mainichi,2022-12-16,14,「なぜ母はロシア軍の人殺しを 」 引き裂かれた家族、深まる溝,https://mainichi.jp/articles/20220825/k00/00m/030/221000c,母 ロシア軍 人殺し 家族 溝
mainichi,2022-12-16,15,九州写真記者協会、毎日新聞が協会賞受賞 「旦過市場また炎上」,https://mainichi.jp/articles/20221215/k00/00m/040/220000c,九州写真記者協会 毎日新聞 協会賞受賞 旦 市場 炎上
mainichi,2022-12-16,16,タイ国王長女が心疾患で入院 飼い犬訓練中、意識失う,https://mainichi.jp/articles/20221215/k00/00m/030/349000c,タイ国王長女 心疾患 入院 飼い犬訓練中 意識
mainichi,2022-12-16,17,大阪・枚方市立中、いじめ訴えに7カ月対応せず 市教委「重大事態」,https://mainichi.jp/articles/20221215/k00/00m/040/311000c,大阪 枚方市立中 いじめ訴え 7カ月対応 市教委 重大事態
mainichi,2022-12-16,18,「返済不要」「学費免除」大学の独自支援策 もう一つの狙いとは,https://mainichi.jp/articles/20221213/k00/00m/040/323000c,返済不要 学費免除 大学 独自支援策 一つ 狙い
mainichi,2022-12-16,19,セクハラや性暴力「男女問わず日常的に」 元自衛官・一問一答,https://mainichi.jp/articles/20221007/k00/00m/040/198000c,セクハラ 性暴力 男女 日常的 自衛官 一問一答
mainichi,2022-12-16,20,司法修習生64人が新型コロナ感染 大半が食事会に参加,https://mainichi.jp/articles/20221215/k00/00m/040/322000c,司法修習生64人 新型コロナ感染 大半 食事会 参加
