media,date,ranking,title,url,words
yahoo,2022-12-16,1,下水道から汚水あふれる設計ミスで４億円損失、「市職員全員」の給与削減し穴埋め 市議会で可決,https://news.yahoo.co.jp/articles/765150e5bf20d42815f04a482fb9c5285492c423,下水道 汚水 設計ミス ４億円損失 市職員全員 給与削減 穴埋め 市議会 可決
yahoo,2022-12-16,2,「キャー」「やめて」頻繁に響いた声 “消えていた”50歳男を逮捕 自宅に両親の遺体遺棄か,https://news.yahoo.co.jp/articles/df1a23b9baed4cc961b6a955dfffe0d7fb5ab49f,頻繁 声 50歳男 逮捕 自宅 両親 遺体遺棄
yahoo,2022-12-16,3,「女性ダンサーの気を引くため」ディズニーランド・パレード乱入男の“動機”「迷惑かけるつもりない」とも 業務妨害容疑で送検,https://news.yahoo.co.jp/articles/06bc1e0b6a93449093d471a16ff7f9d636e3efb3,女性ダンサー ディズニーランド パレード乱入男 動機 迷惑 業務妨害容疑 送検
yahoo,2022-12-16,4,両親殺害し冷蔵庫に 「35年間、母親以外と会話なし」引きこもり生活の実態【福岡発】,https://news.yahoo.co.jp/articles/fd12a7c37ae1b75f225cbece14a78a520c82fcc7,両親殺害 冷蔵庫 35年間 母親以外 会話 生活 実態 福岡発
yahoo,2022-12-16,5,「ソウルのように押しつぶされていたかも 」雑踏事故、札幌や京都で今夏ヒヤリ事例,https://news.yahoo.co.jp/articles/e549cc2516eb611a87601646b4a584bf84d70d14,ソウル 雑踏事故 札幌 京都 今夏ヒヤリ事例
yahoo,2022-12-16,6,連合会長「許容できない」 国民民主の連立政権入り,https://news.yahoo.co.jp/articles/10b5746d334365f91ad1b55260c66e51d5cbc282,連合会長 許容 国民民主 連立政権入り
yahoo,2022-12-16,7,便器に頭部、水流した疑い 愛知の勾留男性死亡、いたずらか,https://news.yahoo.co.jp/articles/319364b6b700b1a25661f83e340eb9c95861322c,便器 頭部 水流 疑い 愛知 勾留男性死亡 いたずら
yahoo,2022-12-16,8,三笠宮さま「ズボンに沼津を入れといてくれ」 伝記刊行委員長の彬子さま「宝探しのような読み方も」,https://news.yahoo.co.jp/articles/14fa8ae5920dd72566466fdbe90217ab4418c494,三笠宮さま ズボン 沼津 伝記刊行委員長 彬子さま 宝探し 読み方
yahoo,2022-12-16,9,視察で行きの新幹線から缶ビール 議長の飲酒巡り揺れる市議会で飛び出した“市議も飲酒” 市民「呆れる」,https://news.yahoo.co.jp/articles/2ec7150f69225c7831f8e258722a50901dc40a4a,視察 新幹線 缶ビール 議長 飲酒 市議会 市議 飲酒 市民
yahoo,2022-12-16,10,フードコートの席にいた女性、顔上げたら「バスが目の前に」 割れたガラス破片が降り注ぐ,https://news.yahoo.co.jp/articles/0011032d16cac84d6761a5bbf52f59033ca59f5b,フードコート 席 女性 顔 バス 目 前 ガラス破片
yahoo,2022-12-16,11,「総理が折れなきゃ日本は確実に潰れますね 」元内閣官房参与の京大大学院教授、防衛費巡る増税方針を批判,https://news.yahoo.co.jp/articles/9f2b788af96bf4ff08e32a20fb6245641a9f47ab,総理 日本 確実 内閣官房参与 京大大学院教授 防衛費 増税方針 批判
yahoo,2022-12-16,12,４か月で宝くじ１等３本、計１８億円 ５ｋｍの一直線上にある３売り場が話題,https://news.yahoo.co.jp/articles/516c09f432ba0f69a8db7523aaacd184cbfd581b,４か月 宝くじ１等３本 １８億円 ５ｋｍ 一直線上 ３売り場 話題
yahoo,2022-12-16,13,ラーメン取りに来たバイク運転手が死亡 車衝突する直前まで“会話”目撃者が語る ,https://news.yahoo.co.jp/articles/3dc6b7a0dece317ed0ed5324be4c89f322bf3347,ラーメン取り バイク運転手 死亡 車衝突 直前 会話 目撃者
yahoo,2022-12-16,14,育休復帰後に上司「席はない」、退職へ 「男性と育休」どう思う?,https://news.yahoo.co.jp/articles/f2d9d561461a2b5abe8f423b513deb092b1b2df9,育休復帰後 上司 席 退職 男性 育休 ?
yahoo,2022-12-16,15,岸信夫氏の引退「早期の可能性、補欠選挙も」 体調悪化受け後援会長,https://news.yahoo.co.jp/articles/db2efc9b3748223cdafd079eb91d857f87e95b57,岸信夫氏 引退 早期 可能性 補欠選挙 体調悪化 後援会長
yahoo,2022-12-16,16,俳優の高橋征郎さん死去、84歳,https://news.yahoo.co.jp/articles/482b844a796e065818056c8e153c824d9c7f5713,俳優 高橋征郎さん死去 84歳
yahoo,2022-12-16,17,修学旅行バス、小６男児１人をＰＡに置き去り 気づいたトラック運転手が送り届ける,https://news.yahoo.co.jp/articles/656a52e031f86a0c26b702cff0a740a722c2bee5,修学旅行バス ６男児１人 ＰＡ 置き去り トラック運転手
yahoo,2022-12-16,18,有名老舗洋菓子店 ケーキデザイン丸パクリで謝罪、商品回収＆破棄 「結果的にデザインをほぼ模倣」,https://news.yahoo.co.jp/articles/81c7f342f8870096eb77807d18a07e8dd08d99c5,有名老舗洋菓子店 ケーキデザイン丸パクリ 謝罪 商品回収 破棄 結果的 デザイン 模倣
yahoo,2022-12-16,19,【1か月予報】寒気が周期的に流入 雪国の降雪は多い,https://news.yahoo.co.jp/articles/44fdb980f325d26e7e1d10f47c097810442bcf0e,1か月予報 寒気 周期的 流入 雪国 降雪
yahoo,2022-12-16,20,JR神戸線で人身事故 一部運転見合わせ,https://news.yahoo.co.jp/articles/6387f9e5a3d878c6df1a4218d8fafdfd152d2b87,JR神戸線 人身事故 一部運転見合わせ
yahoo,2022-12-16,21,渋谷トイレ丸見え騒動、批判続出で「応急措置」 「常時不透明」に変更も...区議苦言「とても残念」,https://news.yahoo.co.jp/articles/d27d6e2919af08a6c93ea9c9ec2838d82c0330f2,渋谷トイレ丸見え騒動 批判続出 応急措置 常時不透明 変更 ...区議苦言 残念
yahoo,2022-12-16,22,人気洋菓子ブランド「パクリケーキ騒動」で謝罪 デザイン模倣の事実認める...商品は販売停止＆回収に,https://news.yahoo.co.jp/articles/1667570b6093191b8c3c0ca4d9477d4fab5505d8,人気洋菓子ブランド パクリケーキ騒動 謝罪 デザイン模倣 事実 ...商品 販売停止 回収
yahoo,2022-12-16,23,元中小企業庁長官、使い込み1千万円超の指摘 コンパニオンと混浴も,https://news.yahoo.co.jp/articles/331a9167951cd0b5d05e69a200c65a4c6ccfa0b8,中小企業庁長官 1千万円超 指摘 コンパニオン 混浴
yahoo,2022-12-16,24,“母親の遺体”を26歳の息子が“山林に遺棄”か「山の中に捨てたのは事実」 容疑者立ち会いで捜索、山梨で遺体発見,https://news.yahoo.co.jp/articles/014e361cfafe2fa5f6f73e6937837d77ae5b798d,母親 遺体 26歳 息子 山林 遺棄 山 事実 容疑者立ち会い 捜索 山梨 遺体発見
yahoo,2022-12-16,25,「耳がツンとする」 東北新幹線で 全員下車のトラブル 原因は『行先表示器』？,https://news.yahoo.co.jp/articles/16601a285cca88bac3c89712788846757b942736,耳 東北新幹線 全員下車 トラブル 原因 行先表示器
yahoo,2022-12-16,26,田上富久・長崎市長、退任後は政界引退の意向,https://news.yahoo.co.jp/articles/aa46e75d3b5de70a89d6a462958fe3f00a70f1db,田上富久 長崎市長 退任後 政界引退 意向
yahoo,2022-12-16,27,防衛省 元自衛官・五ノ井里奈さんへの性暴力 関係者を懲戒処分,https://news.yahoo.co.jp/articles/6aaab4ab422f19ded46ab45575a0c78b9b132482,防衛省 自衛官 井里奈さん 性暴力 関係者 懲戒処分
yahoo,2022-12-16,28,「子どもの声騒がしい」苦情で公園廃止、長野市長が「経緯聞きたい」 関係者と意見交換へ,https://news.yahoo.co.jp/articles/f93eab71747af567172ea5a629838ca047bc4ea8,子ども 声 苦情 公園廃止 長野市長 経緯 関係者 意見交換
yahoo,2022-12-16,29,岸信夫首相補佐官が引退へ、長男の信千世氏に「このあたりで譲りたい」 後援会幹部に伝える,https://news.yahoo.co.jp/articles/a082d39d3beef0c64c18dd545df88ed10165b7d7,岸信夫首相補佐官 引退 長男 信千世氏 あたり 後援会幹部
yahoo,2022-12-16,30,「安倍氏亡くなり、首相は気兼ねする必要なくなった」自民・高鳥氏,https://news.yahoo.co.jp/articles/eaa3ffcc4da43e274e5699d92ecb45f49fc74b6c,安倍氏 首相 気兼ね 必要 自民 高鳥氏
yahoo,2022-12-16,31,「耳がツンとする」原因は“意外なもの”の破損？ 東北新幹線で全員下車のトラブル,https://news.yahoo.co.jp/articles/f6a6abaef859ef20e872daf5d4084bb88593b8ce,耳 原因 意外 破損 東北新幹線 全員下車 トラブル
yahoo,2022-12-16,32,尿が入ったポリ袋を路上に捨てる、５９歳県立高実習教諭を逮捕 相談あり署員が張り込む,https://news.yahoo.co.jp/articles/8b16af6800226f9e96ad5e7ef4b32a51b4930ffb,尿 ポリ袋 路上 ５９歳県立高実習教諭 逮捕 相談 署員
yahoo,2022-12-16,33,教員に残業代、文科省が検討 支給認めない法律の見直し議論へ,https://news.yahoo.co.jp/articles/732a608d2608f25e14be5640d9ebdda826b676bd,教員 残業代 文科省 検討 支給 法律 見直し議論
yahoo,2022-12-16,34,シャンプーなど650リットル廃棄危機も...コスト度外視で無償配布へ 沖縄ホテルの決断に反響広がる,https://news.yahoo.co.jp/articles/9f23aafcdb954b0da686f8c3d6443e9d0f805c20,シャンプー 650リットル廃棄危機 ...コスト度外視 無償配布 沖縄ホテル 決断 反響
yahoo,2022-12-16,35,週間天気 土曜は全国的に雨や雪 その後は強い寒気南下で大雪警戒,https://news.yahoo.co.jp/articles/b122c9454c3ab7c65002d7c7c9acd279a4a5d5ac,週間天気 土曜 全国的 雨 雪 その後 寒気南下 大雪警戒
yahoo,2022-12-16,36,財務省の３０代職員、仕事さぼってひき逃げ 減給２か月の懲戒処分,https://news.yahoo.co.jp/articles/852090deaea723ab545cc16f36be8a8fdd6ff5cd,財務省 ３０代職員 仕事 ひき逃げ 減給２か月 懲戒処分
yahoo,2022-12-16,37,レンタカーが煽り運転？証拠動画がSNSで拡散 タイムズ「案件に応じて必要な対応をしている」,https://news.yahoo.co.jp/articles/a42f1aea343577d20d92fd77adfa291cd621ac7b,レンタカー 運転 証拠動画 SNS 拡散 タイムズ 案件 必要 対応
yahoo,2022-12-16,38,「現代の“姥捨て山”だね」 介護保険“危機”で政府が自己負担“引き上げ”検討 負担1割のはずが 2割なら出費『倍増』も 要介護高齢者「十分なケア受けられない」  ホームヘルパー「現場を見に来て」,https://news.yahoo.co.jp/articles/db1a527288e0b2fb101a746f2369d79239a8d0be,現代 姥 山 介護保険 危機 政府 自己負担 引き上げ 検討 負担1割 2割 出費 倍増 介護高齢者 十分 ケア ホームヘルパー 現場
yahoo,2022-12-16,39,動機は“母の手作りカレー” 実母を自殺に追い込んだ男に判決 子供の頃からの悲しい執着 【石川発】,https://news.yahoo.co.jp/articles/db27545032adc6a5fa9223d86a461bd115980855,動機 母 手作りカレー 実母 自殺 男 判決 子供 執着 石川発
yahoo,2022-12-16,40,田崎史郎氏、防衛費増額を巡り羽鳥慎一アナに「なんでこんなに急ぐ？」と聞かれ回答 「ここで財源を示さなければ無責任と言われる」,https://news.yahoo.co.jp/articles/300b66db52dee1c9fc7d5e8b90e507ac3a6130bd,田崎史郎氏 防衛費増額 羽鳥慎一アナ 回答 財源 無責任
