media,date,ranking,title,url,words
mainichi,2022-12-17,1,岡崎署勾留死「非を認め謝って」 遺族、県警に映像の開示要求,https://mainichi.jp/articles/20221217/k00/00m/040/212000c,岡崎署勾留死 非 遺族 県警 映像 開示要求
mainichi,2022-12-17,2,トリアージは全員「黒」だった 医師らが振り返る未経験の事態,https://mainichi.jp/articles/20221215/k00/00m/040/095000c,トリアージ 全員 黒 医師ら 経験 事態
mainichi,2022-12-17,3,方言に込めた島の怒り 沖縄の言葉で歌うラップ、引き継がれる思い,https://mainichi.jp/articles/20221217/k00/00m/040/161000c,方言 島 怒り 沖縄 言葉 ラップ 思い
mainichi,2022-12-17,4,ノルディック複合・山本涼太、亡父を「超えられたかな」 決意新た,https://mainichi.jp/articles/20220216/k00/00m/050/254000c,ノルディック複合 山本涼太 亡父 決意新た
mainichi,2022-12-17,5,新宿ゴールデン街の飲食店で火災 けが人・延焼なし 漏電の可能性,https://mainichi.jp/articles/20221217/k00/00m/040/135000c,新宿ゴールデン街 飲食店 火災 けが人 延焼 漏電 可能性
mainichi,2022-12-17,6,さいたまのホテルに男女の遺体 従業員「宿泊客が出てこない」,https://mainichi.jp/articles/20221217/k00/00m/040/218000c,さいたま ホテル 男女 遺体 従業員 宿泊客
mainichi,2022-12-17,7,トランプ氏「終わりの始まり」か,https://mainichi.jp/premier/politics/articles/20221217/pol/00m/010/005000c,トランプ氏 始まり
mainichi,2022-12-17,8,マイクロチップ確認されず、処理された愛犬 飼い主ら制度の盲点嘆く,https://mainichi.jp/articles/20220218/k00/00m/040/114000c,マイクロチップ確認 処理 愛犬 飼い主ら制度 盲点
mainichi,2022-12-17,9,「もし妻がいたら 」 逗子ストーカー殺人10年、夫の喪失感いまも,https://mainichi.jp/articles/20221214/k00/00m/040/361000c,妻 逗子ストーカー殺人10年 夫 喪失感いま
mainichi,2022-12-17,10,「自分が変われたのは先生のおかげ」 院長の言葉が患者に残したもの,https://mainichi.jp/articles/20221214/k00/00m/040/117000c,自分 先生 おかげ 院長 言葉 患者
mainichi,2022-12-17,11,「こんな事件、二度と」 放火1年、雑居ビル前で祈る人々絶えず,https://mainichi.jp/articles/20221217/k00/00m/040/087000c,事件 放火1年 雑居ビル前 人々
mainichi,2022-12-17,12,小沢一郎氏、公然と執行部批判 泉代表名指しで「政権取る意志ない」,https://mainichi.jp/articles/20221217/k00/00m/010/211000c,小沢一郎氏 執行部批判 泉代表名指し 政権 意志
mainichi,2022-12-17,13,中高年シングル女性 「死ぬまで働く」背景は？ 調査で浮かんだ実態,https://mainichi.jp/articles/20221213/k00/00m/040/007000c,中高年シングル女性 背景 調査 実態
mainichi,2022-12-17,14,「2000万や3000万なんか」裏金要求、スマホで録音 暴いた衆院選の闇,https://mainichi.jp/articles/20221217/k00/00m/010/132000c,2000万 3000万 裏金要求 スマホ 録音 衆院選 闇
mainichi,2022-12-17,15,放火犠牲の院長「西沢軍団」の絆 友しのぶ忘年会で同級生は,https://mainichi.jp/articles/20221214/k00/00m/040/378000c,放火犠牲 院長 西沢軍団 絆 友 忘年会 同級生
mainichi,2022-12-17,16,事故で即死しないエゾシカ、見守ることしかできない苦悩 北海道で多発,https://mainichi.jp/articles/20221029/k00/00m/040/198000c,事故 即死 エゾシカ 苦悩 北海道 多発
mainichi,2022-12-17,17,FIFAがゼレンスキー氏の要望拒否 W杯決勝前に平和メッセージ,https://mainichi.jp/articles/20221217/k00/00m/030/203000c,FIFA ゼレンスキー氏 要望拒否 W杯決勝前 平和メッセージ
mainichi,2022-12-17,18,「報道の自由はおもちゃではない」 マスク氏の凍結・解除に反発続々,https://mainichi.jp/articles/20221217/k00/00m/300/176000c,報道 自由 おもちゃ マスク氏 凍結 解除 反発
mainichi,2022-12-17,19,この団体ヤバいかも 「脱会後も26年続いた恐怖」 元信者の牧師,https://mainichi.jp/articles/20221217/k00/00m/040/006000c,団体ヤバいか 脱会後 26年 恐怖 信者 牧師
mainichi,2022-12-17,20,岡崎署勾留死 署幹部も暴行か 男性を蹴る様子が監視カメラに,https://mainichi.jp/articles/20221216/k00/00m/040/015000c,岡崎署勾留死 署幹部 暴行 男性 様子 監視カメラ
