media,date,ranking,title,url,words
nikkei,2022-12-26,1,岸田内閣、支持率最低35% 「反撃能力」保有は賛成60%,https://www.nikkei.com/article/DGXZQOUA228SN0S2A221C2000000/,岸田内閣 支持率最低35% 反撃能力 保有 賛成60%
nikkei,2022-12-26,2,キャッシュレス、でも現金増 「銀行券のパラドックス」,https://www.nikkei.com/article/DGXZQOUB0541N0V01C22A2000000/,キャッシュレス 現金増 銀行券 パラドックス
nikkei,2022-12-26,3,2075年の日本、GDP12位に後退 経済大国から脱落予測,https://www.nikkei.com/article/DGXZQOCD2129T0R21C22A2000000/,2075年 日本 GDP12位 後退 経済大国 脱落予測
nikkei,2022-12-26,4,中国コロナ感染急増 浙江省で1日100万人超え,https://www.nikkei.com/article/DGXZQOGM251WD0V21C22A2000000/,中国コロナ感染急増 浙江省 1日100万人
nikkei,2022-12-26,5,FIRE急がぬコツコツ個人投資家 厳選・分散で築く防波堤,https://www.nikkei.com/article/DGXZQOUB147XQ0U2A211C2000000/,FIRE 個人投資家 厳選 分散 防波堤
nikkei,2022-12-26,6,「孫氏の兵法」株安に揺らぐ 「資本家」貫徹できず葛藤,https://www.nikkei.com/article/DGXZQODK205M50Q2A221C2000000/,孫氏 兵法 株安 資本家 貫徹 葛藤
nikkei,2022-12-26,7,「ワグネル主力は手ごわい」 ウクライナ東部守備隊兵士,https://www.nikkei.com/article/DGXZQOCB250C90V21C22A2000000/,ワグネル主力 ウクライナ東部守備隊兵士
nikkei,2022-12-26,8,埼玉・飯能の男女3人死亡事件、逃走の男逮捕 殺人容疑,https://www.nikkei.com/article/DGXZQOUE250P70V21C22A2000000/,埼玉 飯能 男女3人死亡事件 逃走 男逮捕 殺人容疑
nikkei,2022-12-26,9,パナソニック、主役はテレビから空調 欧州で転換,https://www.nikkei.com/article/DGXZQOUF166Z50W2A211C2000000/,パナソニック 主役 テレビ 空調 欧州 転換
nikkei,2022-12-26,10,もう一つの緩和正常化 株売る日銀、国民の覚悟問う,https://www.nikkei.com/article/DGXZQOCD230ZP0T21C22A2000000/,一つ 緩和正常化 株 日銀 国民 覚悟
nikkei,2022-12-26,11,おもちゃ消費、大人が主役 少子化でも販売額は過去最高,https://www.nikkei.com/article/DGXZTS00003151Q2A221C2000000/,おもちゃ消費 大人 主役 少子化 販売額 過去最高
nikkei,2022-12-26,12,デフレ脱却宣言に備えるとき 政府・日銀合意10年の真実,https://www.nikkei.com/article/DGXZQOCD16A2F0W2A211C2000000/,デフレ脱却宣言 政府 日銀合意10年 真実
nikkei,2022-12-26,13,フィリピン、中国と火種再び 南シナ海で埋め立て活発に,https://www.nikkei.com/article/DGXZQOGM228CB0S2A221C2000000/,フィリピン 中国 火種 南シナ海 埋め立て活発
nikkei,2022-12-26,14,（チャートは語る）硬直財政、成長阻む悪循環 政策経費3割どまり 税収伸び、米欧に見劣り,https://www.nikkei.com/article/DGKKZO67135310V21C22A2MM8000/,チャート 硬直財政 成長 悪循環 政策経費3割どまり 税収 米欧 見劣り
nikkei,2022-12-26,15,国債に格下げリスク再燃も 邦銀に波及、ドル調達難しく 市場との対話不可欠,https://www.nikkei.com/article/DGKKZO67136100V21C22A2EA2000/,国債 格下げリスク再燃 邦銀 波及 ドル調達 市場 対話不可欠
nikkei,2022-12-26,16,革靴の王国・日本 欧州伝来の職人技、本場で称賛,https://www.nikkei.com/article/DGXZQOUD25CKZ0V21C22A1000000/,革靴 王国 日本 欧州伝来 職人技 本場 称賛
nikkei,2022-12-26,17,設備投資30兆円で最高 脱炭素、車・精密機器けん引 今年度修正計画・本社調査,https://www.nikkei.com/article/DGKKZO67135380V21C22A2MM8000/,設備投資30兆円 最高 炭素 車 精密機器けん引 今年度修正計画 本社調査
nikkei,2022-12-26,18,国内のQR決済、海外利用可能に ペイペイやメルペイ 政府、まずインドネシアと協議,https://www.nikkei.com/article/DGKKZO67135470V21C22A2MM8000/,国内 QR決済 海外利用可能 ペイペイ メルペイ 政府 インドネシア 協議
nikkei,2022-12-26,19,DXの壁、商機見いだす SREは不動産のAI査定で増収,https://www.nikkei.com/article/DGXZQOUC1365A0T11C22A2000000/,DX 壁 商機 SRE 不動産 AI査定 増収
nikkei,2022-12-26,20,火力発電 脱炭素化探る CO2貯留/アンモニア混合 電力安定供給、どう両立,https://www.nikkei.com/article/DGKKZO67135890V21C22A2EA1000/,火力発電 炭素化 CO2貯留/アンモニア混合 電力安定供給 両立
nikkei,2022-12-26,21,2023年は本当に円高か 為替アナリストの見方,https://www.nikkei.com/article/DGXZQOUB22C1U0S2A221C2000000/,2023年 円高 為替アナリスト 見方
nikkei,2022-12-26,22,「特定秘密」初の漏洩か 元海将に、海自1佐を懲戒へ,https://www.nikkei.com/article/DGKKZO67135410V21C22A2MM8000/,特定秘密 初 漏洩 海将 海 1佐 懲戒
nikkei,2022-12-26,23,中国コロナ急増 医療逼迫 「死者1日5000人超」推計も,https://www.nikkei.com/article/DGKKZO67135940V21C22A2EA1000/,中国コロナ急増 医療逼迫 死者1日5000人超 推計
nikkei,2022-12-26,24,中国主要都市、地下鉄利用4割減 ゼロコロナ緩和2週間,https://www.nikkei.com/article/DGXZQOGM223SL0S2A221C2000000/,中国主要都市 地下鉄利用4割減 ゼロコロナ緩和2週間
nikkei,2022-12-26,25,驚異のAI学習アプリ、導入急増 リスキリングにも有効,https://www.nikkei.com/article/DGXZQOUC1354B0T11C22A2000000/,驚異 AI学習アプリ 導入急増 リスキリング 有効
