media,date,ranking,title,url,words
excite,2022-12-27,1,マクドナルド、2023年一発目の新商品は「新サムライマック」! 期間限定で登場,https://www.excite.co.jp/news/article/Cobs_2535150/,マクドナルド 2023年一発目 商品 サムライマック ! 期間限定 登場
excite,2022-12-27,2,パナ、炊飯器国内生産終了へ 23年6月、中国に移管,https://www.excite.co.jp/news/article/Kyodo_980305114944864256/,パナ 炊飯器国内生産終了 23年6月 中国 移管
excite,2022-12-27,3,「刺された」は自作自演＝通報の会社員捜査―大阪府警,https://www.excite.co.jp/news/article/Jiji_2873110/,自作自演 通報 会社員捜査 大阪府警
excite,2022-12-27,4,東国原英夫氏、今後の活動は「白紙です。年明けにかけて考えます」春の統一地方選へオファー殺到も！？,https://www.excite.co.jp/news/article/SportsHochi_20221226_OHT1T51137/,東国原英夫氏 今後 活動 白紙 年明け 春 統一地方選 オファー殺到
excite,2022-12-27,5,菅義偉前首相、亡き盟友への思い「安倍さんは私の憧れだった」“安倍魂”を継ぎ政策「きちっと」 激動２０２２,https://www.excite.co.jp/news/article/SportsHochi_20221226_OHT1T51136/,菅義 首相 盟友 思い 安倍さん 安倍魂 政策 激動２０２２
excite,2022-12-27,6,防犯カメラに被害者襲撃の様子写る,https://www.excite.co.jp/news/article/Kyodo_980297941258502144/,防犯カメラ 被害者襲撃 様子
excite,2022-12-27,7,サンマ水揚げ量、初のゼロ 銚子漁港、かつて日本一も,https://www.excite.co.jp/news/article/Kyodo_980223198582374400/,サンマ水揚げ量 初 銚子漁港 日本一
excite,2022-12-27,8,秋葉復興相を更迭、閣僚4人目 後任に渡辺氏再登板、政権打撃,https://www.excite.co.jp/news/article/Kyodo_980310899892912128/,秋葉復興相 更迭 閣僚4人目 後任 渡辺氏 登板 政権打撃
excite,2022-12-27,9,飯能市殺人の容疑者、元映画監督？「あの作品でつまずいて 」西尾孔志監督が親交明かし驚きの声,https://www.excite.co.jp/news/article/Real_Live_200269114/,飯能市殺人 容疑者 映画監督 作品 西尾孔志監督 親交 驚き 声
excite,2022-12-27,10,ガーシー議員に任意聴取要請＝ネット投稿巡り著名人が告訴―警視庁,https://www.excite.co.jp/news/article/Jiji_2873054/,ガーシー議員 任意聴取要請 ネット投稿巡り著名人 告訴 警視庁
excite,2022-12-27,11,東海道新幹線の需要調査へ＝リニア開業後の静岡県駅―斉藤国交相,https://www.excite.co.jp/news/article/Jiji_2873123/,東海道新幹線 需要調査 リニア開業後 静岡県駅 斉藤国交相
excite,2022-12-27,12,生活保護受給女性に「ふざけの感覚」で不適切発言 横浜市職員を処分,https://www.excite.co.jp/news/article/kanaloco_980206509860847616/,生活保護受給女性 感覚 不適切発言 横浜市職員 処分
excite,2022-12-27,13,40代で胃がんを告知された私が､手術後に｢今が一番心が健康｣と思えた理由,https://www.excite.co.jp/news/article/President_63975/,40代 胃がん 告知 ､手術後 ｢今 一番心 健康｣ 理由
excite,2022-12-27,14,宿泊客の貴金属を相次いで窃盗疑い、京都のホテル元客室清掃員の男逮捕,https://www.excite.co.jp/news/article/kyoto_np_980105942351790080/,宿泊客 貴金属 窃盗疑い 京都 ホテル 客室清掃員 男逮捕
excite,2022-12-27,15,レクサスの新型「RX」は選べる3タイプ! どう違う?,https://www.excite.co.jp/news/article/Cobs_2532369/,レクサス 新型 RX 3タイプ! ?
excite,2022-12-27,16,裁量労働制、本人の同意必須に 「専門業務型」で24年から,https://www.excite.co.jp/news/article/Kyodo_980285231899983872/,裁量労働制 本人 同意必須 専門業務型 24年
excite,2022-12-27,17,雪道に強い車おすすめランキングTOP10【2022-2023年最新情報】,https://www.excite.co.jp/news/article/Moby_EXCITE7172/,雪道 車おすすめランキングTOP10 2022-2023年最新情報
excite,2022-12-27,18,被害者は米国籍男性ら、3人殺害 埼玉・飯能、夫妻と長女,https://www.excite.co.jp/news/article/Kyodo_980049053976903680/,被害者 米国籍男性ら 3人殺害 埼玉 飯能 夫妻 長女
excite,2022-12-27,19,「信頼損ね遺憾」と防衛相 特定秘密、1佐免職で,https://www.excite.co.jp/news/article/Kyodo_980314972159901696/,信頼 遺憾 防衛相 特定秘密 1佐免職
excite,2022-12-27,20,アップルに１４０億円追徴課税＝消費税免税認めず―アイフォーン購入転売目的か・東京国税局,https://www.excite.co.jp/news/article/Jiji_2873025/,アップル １４０億円追徴課税 消費税免税 アイフォーン購入転売目的 東京国税局
