media,date,ranking,title,url,words
goo,2022-12-27,1,【独自】警視庁、海外滞在中のガーシー議員に任意聴取要請 動画で著名人を脅迫・名誉棄損,https://news.goo.ne.jp/article/yomiuri/nation/20221226-567-OYT1T50278.html,独自 警視庁 海外滞在中 ガーシー議員 任意聴取要請 動画 著名人 脅迫 名誉棄損
goo,2022-12-27,2,教育実習生から不正に金を徴収 中学校の校長、停職6カ月に 大阪,https://news.goo.ne.jp/article/asahi/nation/ASQDV5JY8QDVPTIL008.html,教育実習生 不正 金 徴収 中学校 校長 停職6カ月 大阪
goo,2022-12-27,3,埼玉・飯能市の殺害事件 遺族がコメント「心の整理がついていない状態」,https://news.goo.ne.jp/article/abematimes/nation/abematimes-10062058.html,埼玉 飯能市 殺害事件 遺族 コメント 心 整理 状態
goo,2022-12-27,4,保育園、アレルギーの３歳男児におやつのケーキ 一時は集中治療室で治療,https://news.goo.ne.jp/article/yomiuri/nation/20221226-567-OYT1T50207.html,保育園 アレルギー ３歳男児 ケーキ 一時 集中治療室 治療
goo,2022-12-27,5,「車傷つけ」から３人殺害へ最悪の事態に 埼玉・飯能の事件、容疑者不起訴後も「怖い」,https://news.goo.ne.jp/article/sankei/nation/sankei-_affairs_crime_YGJA2IEF6FNB5C33OHKXGOR3LM.html,車 ３人殺害 最悪 事態 埼玉 飯能 事件 容疑者 起訴後
goo,2022-12-27,6,マイナンバーカード申請、８１００万件突破 交付率は５６．６％,https://news.goo.ne.jp/article/mainichi/nation/mainichi-20221226k0000m040274000c.html,マイナンバーカード申請 ８１００万件突破 交付率 ５６．６％
goo,2022-12-27,7,助手席の中１三男を４６歳母が文化包丁で殺害、三男乗せたまま出頭「殺してしまった」,https://news.goo.ne.jp/article/yomiuri/nation/20221225-567-OYT1T50122.html,助手席 中１三男 ４６歳母 文化包丁 殺害 三男 まま出頭
goo,2022-12-27,8,飯能市家族3人「ハンマーで耕すように」殺害 「スポーツも勉強もできる優等生」40歳男がなぜ？車傷つけトラブルがきっかけか,https://news.goo.ne.jp/article/fnn/nation/fnn-464258.html,飯能市家族3人 ハンマー 殺害 スポーツ 勉強 優等生 40歳男 車 トラブル きっかけ
goo,2022-12-27,9,「ゴキブリがシャワーのようにボトボトと」「捕まったまま死んだネズミの臭いが 」害虫駆除業者に聞いた“ヤバい現場”,https://news.goo.ne.jp/article/bunshun/nation/bunshun-59068.html,ゴキブリ シャワー ボトボト ネズミ 害虫駆除業者 ヤバ 現場
goo,2022-12-27,10,V系バンドが全面勝訴 活動妨害で元事務所に知財高裁が賠償命令,https://news.goo.ne.jp/article/asahi/nation/ASQDV6G1LQDVUTIL03D.html,V系バンド 全面勝訴 活動妨害 事務所 知財高裁 賠償命令
