media,date,ranking,title,url,words
jiji,2022-12-27,1,国連からロシア追放を＝「常任理事国」剥奪も呼び掛け―ウクライナ,https://sp.m.jiji.com/article/show/2872919?free=1,国連 ロシア追放 常任理事国 剥奪 ウクライナ
jiji,2022-12-27,2,ガーシー議員に任意聴取要請＝ネット投稿巡り著名人が告訴―警視庁,https://sp.m.jiji.com/article/show/2873055?free=1,ガーシー議員 任意聴取要請 ネット投稿巡り著名人 告訴 警視庁
jiji,2022-12-27,3,復興相に渡辺氏再登板＝岸田首相、秋葉氏を更迭,https://sp.m.jiji.com/article/show/2873099?free=1,復興相 渡辺氏 登板 岸田首相 秋葉氏 更迭
jiji,2022-12-27,4,「ウクライナ工作員殺害」主張＝ロシア当局、欧米と関係示唆,https://sp.m.jiji.com/article/show/2872964?free=1,ウクライナ工作員殺害 主張 ロシア当局 欧米 関係示唆
jiji,2022-12-27,5,カビ輸入米、不正に検査証明＝初の業務停止命令へ―農水省,https://sp.m.jiji.com/article/show/2872713?free=1,カビ輸入米 不正 検査証明 初 業務停止命令 農水省
jiji,2022-12-27,6,懲戒処分、異例の実名公表＝情報保全、安保戦略に明記―防衛省,https://sp.m.jiji.com/article/show/2872974?free=1,懲戒処分 異例 実名公表 情報保全 安保戦略 明記 防衛省
jiji,2022-12-27,7,李元大統領に恩赦＝収賄で懲役１７年―韓国,https://sp.m.jiji.com/article/show/2873129?free=1,李 大統領 恩赦 収賄 懲役１７年 韓国
jiji,2022-12-27,8,「踊っても歌ってもＯＫ」 ウィーンで認知症患者向けコンサート,https://sp.m.jiji.com/article/show/2870994?free=1,ＯＫ ウィーン 認知症患者向けコンサート
jiji,2022-12-27,9,復興相に渡辺氏再登板＝岸田首相、秋葉氏を更迭,https://sp.m.jiji.com/article/show/2873103?free=1,復興相 渡辺氏 登板 岸田首相 秋葉氏 更迭
jiji,2022-12-27,10,常磐津英寿さん死去,https://sp.m.jiji.com/article/show/2873128?free=1,常磐津英寿さん死去
jiji,2022-12-27,11,「刺された」は自作自演＝通報の会社員捜査―大阪府警,https://sp.m.jiji.com/article/show/2873114?free=1,自作自演 通報 会社員捜査 大阪府警
jiji,2022-12-27,12,岸田首相、秋葉氏更迭へ,https://sp.m.jiji.com/article/show/2873109?free=1,岸田首相 秋葉氏更迭
jiji,2022-12-27,13,北朝鮮、ロシア側に武器納入＝米、核開発の資金源と警戒,https://sp.m.jiji.com/article/show/2871936?free=1,北朝鮮 ロシア側 武器納入 米 核開発 資金源 警戒
jiji,2022-12-27,14,東海道新幹線の需要調査へ＝リニア開業後の静岡県駅―斉藤国交相,https://sp.m.jiji.com/article/show/2873124?free=1,東海道新幹線 需要調査 リニア開業後 静岡県駅 斉藤国交相
jiji,2022-12-27,15,化学工場で火災,https://sp.m.jiji.com/article/show/2873126?free=1,化学工場 火災
jiji,2022-12-27,16,李明博元大統領に恩赦,https://sp.m.jiji.com/article/show/2873125?free=1,李明博 大統領 恩赦
jiji,2022-12-27,17,李元大統領に恩赦＝収賄で懲役１７年―韓国,https://sp.m.jiji.com/article/show/2873112?free=1,李 大統領 恩赦 収賄 懲役１７年 韓国
jiji,2022-12-27,18,マイナカード申請、８１００万件超に＝松本総務相,https://sp.m.jiji.com/article/show/2873107?free=1,マイナカード申請 ８１００万件超 松本総務相
jiji,2022-12-27,19,伊勢ケ浜親方が相撲協会理事辞任,https://sp.m.jiji.com/article/show/2872778?free=1,伊勢ケ浜親方 相撲協会理事辞任
jiji,2022-12-27,20,ウクライナ大統領、印首相と電話会談,https://sp.m.jiji.com/article/show/2873046?free=1,ウクライナ大統領 印首相 電話会談
jiji,2022-12-27,21,アップルに１４０億円追徴課税＝消費税免税認めず―アイフォーン購入転売目的か・東京国税局,https://sp.m.jiji.com/article/show/2873030?free=1,アップル １４０億円追徴課税 消費税免税 アイフォーン購入転売目的 東京国税局
jiji,2022-12-27,22,欧米の消費減速で工場労働者数万人が解雇 製造拠点のベトナム,https://sp.m.jiji.com/article/show/2873089?free=1,欧米 消費減速 工場労働者数万人 解雇 製造拠点 ベトナム
jiji,2022-12-27,23,アップルに１４０億円追徴課税＝消費税免税認めず―アイフォーン購入転売目的か・東京国税局,https://sp.m.jiji.com/article/show/2873024?free=1,アップル １４０億円追徴課税 消費税免税 アイフォーン購入転売目的 東京国税局
jiji,2022-12-27,24,化学工場で火災、１人けが＝近隣住宅含む２５００平方メートル延焼―東京,https://sp.m.jiji.com/article/show/2873063?free=1,化学工場 火災 １人けが 近隣住宅 ２５００平方メートル延焼 東京
jiji,2022-12-27,25,不適切保育で実態調査＝政府,https://sp.m.jiji.com/article/show/2873121?free=1,不適切保育 実態調査 政府
jiji,2022-12-27,26,「ロシア式」と決別、１２月に祝うクリスマス ウクライナ,https://sp.m.jiji.com/article/show/2873119?free=1,ロシア式 決別 １２月 クリスマス ウクライナ
jiji,2022-12-27,27,カニエ・ウェストのタトゥー無料除去 ファンだった過去と決別 英,https://sp.m.jiji.com/article/show/2873091?free=1,カニエ・ウェスト タトゥー無料除去 ファン 過去 決別 英
jiji,2022-12-27,28,押収の鈍器に血痕なし＝容疑者、拭い取ったか―飯能３人殺害・埼玉県警,https://sp.m.jiji.com/article/show/2873140?free=1,押収 鈍器 血痕 容疑者 飯能３人殺害 埼玉県警
jiji,2022-12-27,29,台湾識別圏に中国機７１機＝米台接近に「断固対抗」,https://sp.m.jiji.com/article/show/2872614?free=1,台湾識別圏 中国機７１機 米台接近 対抗
