media,date,ranking,title,url,words
yahoo,2022-12-27,1,殺害された夫婦、１年前に車傷つけられ「心当たりない」 トラブル認識していなかったか,https://news.yahoo.co.jp/articles/d37389b19108ee154d10ac99b5c889d3fa6a7a97,殺害 夫婦 １年前 車 心当たり トラブル認識
yahoo,2022-12-27,2,飯能市家族3人「ハンマーで耕すように」殺害 「スポーツも勉強もできる優等生」40歳男がなぜ?車傷つけトラブルがきっかけか,https://news.yahoo.co.jp/articles/267e4ff09ba8d97e54f7cbb956809c6b929f2e55,飯能市家族3人 ハンマー 殺害 スポーツ 勉強 優等生 40歳男 ?車 トラブル きっかけ
yahoo,2022-12-27,3,ばんそうこうの常識に小学生が革命 世界発明大会で受賞したアイデア,https://news.yahoo.co.jp/articles/aa9fdc2e61bf8ee3dcc0168b3e1bf956e8698322,そうこう 常識 小学生 革命 世界発明大会 受賞 アイデア
yahoo,2022-12-27,4,「なんだこれ」福岡空港で大行列 担当者は「対応に苦慮」,https://news.yahoo.co.jp/articles/873427fe219ec7d2b32a11492b24622f0cfc1cf1,福岡空港 行列 担当者 対応 苦慮
yahoo,2022-12-27,5,飛び降り寸前の男性 泣きながら腕つかんだ女子中学生,https://news.yahoo.co.jp/articles/48dffb5e6866fee4e53ca19b53d9b7440338f76a,寸前 男性 腕 女子中学生
yahoo,2022-12-27,6,ジャニーズがタレントに「お年玉」経費にあたらず 国税、9千万円分,https://news.yahoo.co.jp/articles/c5a769056c92dc9cec8a36bc91bb99ba8ee2d96c,ジャニーズ タレント お年玉 経費 国税 9千万円分
yahoo,2022-12-27,7,ガーシー氏に任意聴取要請 著名人から脅迫、名誉毀損容疑で告訴状,https://news.yahoo.co.jp/articles/ee74d0956cb138655d6d90d8bec482f876b6e6d3,ガーシー氏 任意聴取要請 著名人 脅迫 名誉毀損容疑 告訴状
yahoo,2022-12-27,8,バスの乗車券を運賃箱から出して販売 覆面調査で発覚 運転士を解雇,https://news.yahoo.co.jp/articles/72745c80fd21b3b3431144b1702cb83dec4d52a4,バス 乗車券 運賃箱 販売 覆面調査 発覚 運転士 解雇
yahoo,2022-12-27,9,「一生許せない」 叱責され飛び降りた元生徒、教諭の免職を申し入れ,https://news.yahoo.co.jp/articles/ba83edb5441e67d0c3fca628630fa776bb3bc276,一生 叱責 生徒 教諭 免職 申し入れ
yahoo,2022-12-27,10,新幹線のトイレにこもる男性 警察官出動で30分後に下車するも 緊急停車で40分遅延発生,https://news.yahoo.co.jp/articles/96fb631401c81aacce5f1d90e451676a3d4bd923,新幹線 トイレ 男性 警察官出動 30分後 下車 緊急停車 40分遅延発生
